Result,name,Context
✅ UPDATED in military_events table,12009,"start_time='1919-01-15T00:00:00Z', end_time='1919-01-15T00:00:00Z', point_in_time='1919-01-15T00:00:00Z'"
 fit_descendant_date updated.,12009,"start_time=1919-01-15T00:00:00Z, end_time=1919-01-15T00:00:00Z, point_in_time=1919-01-15T00:00:00Z"
✅ Updated coords and dates,12009,"name=Morde an Karl Liebknecht und Rosa Luxemburg, descendant_count=2"
✅ FOUND in military_events table ,12447,"id=12447, qid='Q1402078', name='Warsaw Uprising', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Polish%20Soldier%27s%20Grave%20Warsaw%201945.jpg', description='major World War II operation by the Polish resistance Home Army', start_time='1944-08-02T00:00:00Z', end_time='1944-08-05T00:00:00Z', point_in_time='1944-08-02T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Warsaw_Uprising', lat=52.20307685, lon=20.9203091885, depth_index='12379_63_3', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,12447,"start_time='1944-08-02T00:00:00Z', end_time='1944-08-05T00:00:00Z', point_in_time='1944-08-02T00:00:00Z'"
 fit_descendant_date updated.,12447,"start_time=1944-08-02T00:00:00Z, end_time=1944-08-05T00:00:00Z, point_in_time=1944-08-02T00:00:00Z"
✅ Updated coords and dates,12447,"name=Warsaw Uprising, descendant_count=3"
✅ FOUND in military_events table ,12664,"id=12664, qid='Q6148020', name='Operation Chahar', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20at%20Great%20Wall%2C%20Laiyuan%2C%20Hebei%2C%20autumn%201937.jpg', description='first campaign of WWII, which broke out around Nankou, Beiping/Chahar, China', start_time='1937-08-01T00:00:00Z', end_time='1937-09-01T00:00:00Z', point_in_time='1937-08-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Chahar', lat=40.5633455555, lon=114.61789999999999, depth_index='12379_267_16', depth_level=3, descendant_count=4"
✅ UPDATED in military_events table,12664,"start_time='1937-08-01T00:00:00Z', end_time='1937-09-01T00:00:00Z', point_in_time='1937-08-01T00:00:00Z'"
 fit_descendant_date updated.,12664,"start_time=1937-08-01T00:00:00Z, end_time=1937-09-01T00:00:00Z, point_in_time=1937-08-01T00:00:00Z"
✅ Updated coords and dates,12664,"name=Operation Chahar, descendant_count=4"
✅ FOUND in military_events table ,12673,"id=12673, qid='Q254599', name='Battle of Shanghai', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Special%20Naval%20Landing%20Forces%20in%20Battle%20of%20Shanghai%201937.jpg', description='1937 battle of the Second Sino-Japanese War', start_time='1937-01-01T00:00:00Z', end_time='1937-11-01T00:00:00Z', point_in_time='1937-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Shanghai', lat=31.072074999999998, lon=121.36666666650001, depth_index='12379_267_21', depth_level=3, descendant_count=8"
✅ UPDATED in military_events table,12673,"start_time='1937-01-01T00:00:00Z', end_time='1937-11-01T00:00:00Z', point_in_time='1937-01-01T00:00:00Z'"
 fit_descendant_date updated.,12673,"start_time=1937-01-01T00:00:00Z, end_time=1937-11-01T00:00:00Z, point_in_time=1937-01-01T00:00:00Z"
✅ Updated coords and dates,12673,"name=Battle of Shanghai, descendant_count=8"
✅ FOUND in military_events table ,12686,"id=12686, qid='Q701180', name='Battle of Nanking', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Iwane%20Matsui%20rides%20into%20Nanjing.jpg', description='1937 battle of the Second Sino-Japanese War', start_time='1937-08-15T00:00:00Z', end_time='1938-02-02T00:00:00Z', point_in_time='1937-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Nanking', lat=32.04033, lon=118.75807, depth_index='12379_267_26', depth_level=3, descendant_count=2"
✅ UPDATED in military_events table,12686,"start_time='1937-08-15T00:00:00Z', end_time='1938-02-02T00:00:00Z', point_in_time='1937-01-01T00:00:00Z'"
 fit_descendant_date updated.,12686,"start_time=1937-08-15T00:00:00Z, end_time=1938-02-02T00:00:00Z, point_in_time=1937-01-01T00:00:00Z"
✅ Updated coords and dates,12686,"name=Battle of Nanking, descendant_count=2"
✅ FOUND in military_events table ,12692,"id=12692, qid='Q709421', name='Battle of Xuzhou', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Xuzhou%201938.jpg', description='1938 battle', start_time='1938-01-01T00:00:00Z', end_time='1938-03-01T00:00:00Z', point_in_time='1938-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Xuzhou', lat=34.68256, lon=117.750095, depth_index='12379_267_30', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,12692,"start_time='1938-01-01T00:00:00Z', end_time='1938-03-01T00:00:00Z', point_in_time='1938-01-01T00:00:00Z'"
 fit_descendant_date updated.,12692,"start_time=1938-01-01T00:00:00Z, end_time=1938-03-01T00:00:00Z, point_in_time=1938-01-01T00:00:00Z"
✅ Updated coords and dates,12692,"name=Battle of Xuzhou, descendant_count=3"
✅ FOUND in military_events table ,12712,"id=12712, qid='Q10396694', name='Battle of Yunnan-Burma Road', image_url=None, description='1942 battle of World Ward II', start_time='1942-03-18T00:00:00Z', end_time='1942-04-29T00:00:00Z', point_in_time='1942-03-18T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_the_Yunnan%E2%80%93Burma_Road', lat=20.8824016665, lon=96.3261249995, depth_index='12379_267_47', depth_level=3, descendant_count=5"
✅ UPDATED in military_events table,12712,"start_time='1942-03-18T00:00:00Z', end_time='1942-04-29T00:00:00Z', point_in_time='1942-03-18T00:00:00Z'"
 fit_descendant_date updated.,12712,"start_time=1942-03-18T00:00:00Z, end_time=1942-04-29T00:00:00Z, point_in_time=1942-03-18T00:00:00Z"
✅ Updated coords and dates,12712,"name=Battle of Yunnan-Burma Road, descendant_count=5"
✅ FOUND in military_events table ,12720,"id=12720, qid='Q4871917', name='Battle of Northern Burma and Western Yunnan', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/ChineseSoldiersSalweenRiver.gif', description='1943 battle of the Second Sino-Japanese War', start_time='1944-01-01T00:00:00Z', end_time='1944-01-01T00:00:00Z', point_in_time='1944-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Northern_Burma_and_Western_Yunnan', lat=24.59362, lon=98.69238, depth_index='12379_267_50', depth_level=3, descendant_count=1"
✅ UPDATED in military_events table,12720,"start_time='1944-01-01T00:00:00Z', end_time='1944-01-01T00:00:00Z', point_in_time='1944-01-01T00:00:00Z'"
 fit_descendant_date updated.,12720,"start_time=1944-01-01T00:00:00Z, end_time=1944-01-01T00:00:00Z, point_in_time=1944-01-01T00:00:00Z"
✅ Updated coords and dates,12720,"name=Battle of Northern Burma and Western Yunnan, descendant_count=1"
✅ FOUND in military_events table ,12723,"id=12723, qid='Q696448', name='Operation Ichi-Go', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20mechanized%20forces%20marching%20towards%20Lo-yang.jpg', description='1944 military campaign', start_time='1944-01-01T00:00:00Z', end_time='1944-11-24T00:00:00Z', point_in_time='1944-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Ichi-Go', lat=25.54738, lon=108.919205, depth_index='12379_267_52', depth_level=3, descendant_count=2"
✅ UPDATED in military_events table,12723,"start_time='1944-01-01T00:00:00Z', end_time='1944-11-24T00:00:00Z', point_in_time='1944-01-01T00:00:00Z'"
 fit_descendant_date updated.,12723,"start_time=1944-01-01T00:00:00Z, end_time=1944-11-24T00:00:00Z, point_in_time=1944-01-01T00:00:00Z"
✅ Updated coords and dates,12723,"name=Operation Ichi-Go, descendant_count=2"
✅ FOUND in military_events table ,12742,"id=12742, qid='Q4366849', name='Battle of the Border', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Poland1939%20GermanPlanMap.jpg', description='battles that occurred in the first days of the Nazi Germany invasion of Poland in September 1939', start_time='1939-09-01T00:00:00Z', end_time='1939-09-04T00:00:00Z', point_in_time='1939-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_the_Border', lat=51.6627777775, lon=19.1523611105, depth_index='12379_270_9', depth_level=3, descendant_count=10"
✅ UPDATED in military_events table,12742,"start_time='1939-09-01T00:00:00Z', end_time='1939-09-04T00:00:00Z', point_in_time='1939-01-01T00:00:00Z'"
 fit_descendant_date updated.,12742,"start_time=1939-09-01T00:00:00Z, end_time=1939-09-04T00:00:00Z, point_in_time=1939-01-01T00:00:00Z"
✅ Updated coords and dates,12742,"name=Battle of the Border, descendant_count=10"
✅ FOUND in military_events table ,12774,"id=12774, qid='Q182240', name='Siege of Warsaw', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/The%20Royal%20Castle%20in%20Warsaw%20-%20burning%2017.09.1939.jpg', description='1939 battle during WWII', start_time='1939-09-08T00:00:00Z', end_time='1939-09-09T00:00:00Z', point_in_time='1939-09-08T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Siege_of_Warsaw_(1939)', lat=52.21026, lon=20.9758, depth_index='12379_270_35', depth_level=3, descendant_count=1"
✅ UPDATED in military_events table,12774,"start_time='1939-09-08T00:00:00Z', end_time='1939-09-09T00:00:00Z', point_in_time='1939-09-08T00:00:00Z'"
 fit_descendant_date updated.,12774,"start_time=1939-09-08T00:00:00Z, end_time=1939-09-09T00:00:00Z, point_in_time=1939-09-08T00:00:00Z"
✅ Updated coords and dates,12774,"name=Siege of Warsaw, descendant_count=1"
✅ FOUND in military_events table ,12796,"id=12796, qid='Q216184', name='Western Front', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/1944%20NormandyLST.jpg', description='military theatre of World War II encompassing Denmark, Norway, Luxembourg, Belgium, the Netherlands, the United Kingdom, France, Italy, and Germany', start_time='1939-09-07T00:00:00Z', end_time='1945-05-08T00:00:00Z', point_in_time='1939-09-07T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Western_Front_(World_War_II)', lat=53.736805555000004, lon=8.262424344000001, depth_index='12379_272_2', depth_level=3, descendant_count=119"
✅ UPDATED in military_events table,12796,"start_time='1939-09-07T00:00:00Z', end_time='1945-05-08T00:00:00Z', point_in_time='1939-09-07T00:00:00Z'"
 fit_descendant_date updated.,12796,"start_time=1939-09-07T00:00:00Z, end_time=1945-05-08T00:00:00Z, point_in_time=1939-09-07T00:00:00Z"
✅ Updated coords and dates,12796,"name=Western Front, descendant_count=119"
✅ FOUND in military_events table ,12916,"id=12916, qid='Q23908696', name='Eastern European theatre of World War II', image_url=None, description='theatre of conflict during World War II, encompassing Central Europe, Eastern Europe, Northeast Europe (Baltics), and Southeast Europe (Balkans)', start_time='1944-08-16T00:00:00Z', end_time='1945-04-25T00:00:00Z', point_in_time='1944-08-16T00:00:00Z', wiki_url=None, lat=55.27165, lon=21.7250166665, depth_index='12379_272_4', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,12916,"start_time='1944-08-16T00:00:00Z', end_time='1945-04-25T00:00:00Z', point_in_time='1944-08-16T00:00:00Z'"
 fit_descendant_date updated.,12916,"start_time=1944-08-16T00:00:00Z, end_time=1945-04-25T00:00:00Z, point_in_time=1944-08-16T00:00:00Z"
✅ Updated coords and dates,12916,"name=Eastern European theatre of World War II, descendant_count=3"
✅ FOUND in military_events table ,12922,"id=12922, qid='Q157445', name='Prague Offensive', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Pra%C5%BEsk%C3%A1%20ofenz%C3%ADva.jpg', description='last major military operation on the Eastern Front (6–11 May 1945)', start_time='1945-05-01T00:00:00Z', end_time='1945-05-09T00:00:00Z', point_in_time='1945-05-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Prague_offensive', lat=50.080955555, lon=14.45057222, depth_index='12379_272_7', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,12922,"start_time='1945-05-01T00:00:00Z', end_time='1945-05-09T00:00:00Z', point_in_time='1945-05-01T00:00:00Z'"
 fit_descendant_date updated.,12922,"start_time=1945-05-01T00:00:00Z, end_time=1945-05-09T00:00:00Z, point_in_time=1945-05-01T00:00:00Z"
✅ Updated coords and dates,12922,"name=Prague Offensive, descendant_count=3"
✅ FOUND in military_events table ,12934,"id=12934, qid='Q154164', name='Operation Rheinübung', image_url=None, description='1941 battle', start_time='1941-05-26T00:00:00Z', end_time='1941-05-27T00:00:00Z', point_in_time='1941-05-27T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Rhein%C3%BCbung', lat=48.166666666, lon=-16.2, depth_index='12379_274_10', depth_level=3, descendant_count=1"
✅ UPDATED in military_events table,12934,"start_time='1941-05-26T00:00:00Z', end_time='1941-05-27T00:00:00Z', point_in_time='1941-05-27T00:00:00Z'"
 fit_descendant_date updated.,12934,"start_time=1941-05-26T00:00:00Z, end_time=1941-05-27T00:00:00Z, point_in_time=1941-05-27T00:00:00Z"
✅ Updated coords and dates,12934,"name=Operation Rheinübung, descendant_count=1"
✅ FOUND in military_events table ,12959,"id=12959, qid='Q639989', name='Battle of Tolvajärvi', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Talvisota%20Tolvajarvi%201.PNG', description='1939 first large offensive victory for the Finns in the Winter War', start_time='1939-12-10T00:00:00Z', end_time='1939-12-11T00:00:00Z', point_in_time='1939-12-10T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Tolvaj%C3%A4rvi', lat=62.3, lon=31.366666666, depth_index='12379_282_2', depth_level=3, descendant_count=1"
✅ UPDATED in military_events table,12959,"start_time='1939-12-10T00:00:00Z', end_time='1939-12-11T00:00:00Z', point_in_time='1939-12-10T00:00:00Z'"
 fit_descendant_date updated.,12959,"start_time=1939-12-10T00:00:00Z, end_time=1939-12-11T00:00:00Z, point_in_time=1939-12-10T00:00:00Z"
✅ Updated coords and dates,12959,"name=Battle of Tolvajärvi, descendant_count=1"
✅ FOUND in military_events table ,12966,"id=12966, qid='Q477095', name='Battle of Suomussalmi', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Schlacht%20von%20Suomussalmi.svg', description='1939 battle fought between Finnish and Soviet forces in the Winter War', start_time='1940-01-01T00:00:00Z', end_time='1940-01-07T00:00:00Z', point_in_time='1940-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_Suomussalmi', lat=64.848055555, lon=29.326388888, depth_index='12379_282_8', depth_level=3, descendant_count=1"
✅ UPDATED in military_events table,12966,"start_time='1940-01-01T00:00:00Z', end_time='1940-01-07T00:00:00Z', point_in_time='1940-01-01T00:00:00Z'"
 fit_descendant_date updated.,12966,"start_time=1940-01-01T00:00:00Z, end_time=1940-01-07T00:00:00Z, point_in_time=1940-01-01T00:00:00Z"
✅ Updated coords and dates,12966,"name=Battle of Suomussalmi, descendant_count=1"
✅ FOUND in military_events table ,12983,"id=12983, qid='Q150939', name='Operation Weserübung', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Operation%20Weser%C3%BCbung.jpg', description=""1940 code name for Germany's assault on Denmark and Norway during the Second World War"", start_time='1940-04-09T00:00:00Z', end_time='1940-04-26T00:00:00Z', point_in_time='1940-04-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Weser%C3%BCbung', lat=61.2204437315, lon=8.456003512, depth_index='12379_285_15', depth_level=3, descendant_count=5"
✅ UPDATED in military_events table,12983,"start_time='1940-04-09T00:00:00Z', end_time='1940-04-26T00:00:00Z', point_in_time='1940-04-01T00:00:00Z'"
 fit_descendant_date updated.,12983,"start_time=1940-04-09T00:00:00Z, end_time=1940-04-26T00:00:00Z, point_in_time=1940-04-01T00:00:00Z"
✅ Updated coords and dates,12983,"name=Operation Weserübung, descendant_count=5"
✅ FOUND in military_events table ,13013,"id=13013, qid='Q4685618', name='Adriatic Campaign of World War II', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Operation25yu.jpg', description='minor naval campaign fought during World War II', start_time='1944-01-01T00:00:00Z', end_time='1944-02-29T00:00:00Z', point_in_time='1944-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Adriatic_campaign_of_World_War_II', lat=44.4166666665, lon=14.649999998, depth_index='12379_300_5', depth_level=3, descendant_count=2"
✅ UPDATED in military_events table,13013,"start_time='1944-01-01T00:00:00Z', end_time='1944-02-29T00:00:00Z', point_in_time='1944-01-01T00:00:00Z'"
 fit_descendant_date updated.,13013,"start_time=1944-01-01T00:00:00Z, end_time=1944-02-29T00:00:00Z, point_in_time=1944-01-01T00:00:00Z"
✅ Updated coords and dates,13013,"name=Adriatic Campaign of World War II, descendant_count=2"
✅ FOUND in military_events table ,13016,"id=13016, qid='Q218678', name='North African campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Crusadertankandgermantank.jpg', description='1940–1943 military campaign of World War II', start_time='1940-09-09T00:00:00Z', end_time='1943-05-13T00:00:00Z', point_in_time='1940-09-09T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/North_African_campaign', lat=24.72165, lon=19.3712, depth_index='12379_300_6', depth_level=3, descendant_count=52"
✅ UPDATED in military_events table,13016,"start_time='1940-09-09T00:00:00Z', end_time='1943-05-13T00:00:00Z', point_in_time='1940-09-09T00:00:00Z'"
 fit_descendant_date updated.,13016,"start_time=1940-09-09T00:00:00Z, end_time=1943-05-13T00:00:00Z, point_in_time=1940-09-09T00:00:00Z"
✅ Updated coords and dates,13016,"name=North African campaign, descendant_count=52"
✅ FOUND in military_events table ,13069,"id=13069, qid='Q702176', name='Battle of the Mediterranean', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/HMS%20Ark%20Royal%20sinking.jpg', description='1940 naval campaign fought in the Mediterranean Sea during World War II', start_time='1940-06-28T00:00:00Z', end_time='1945-03-18T00:00:00Z', point_in_time='1940-06-28T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Battle_of_the_Mediterranean', lat=38.215, lon=11.511804999999999, depth_index='12379_300_7', depth_level=3, descendant_count=28"
✅ UPDATED in military_events table,13069,"start_time='1940-06-28T00:00:00Z', end_time='1945-03-18T00:00:00Z', point_in_time='1940-06-28T00:00:00Z'"
 fit_descendant_date updated.,13069,"start_time=1940-06-28T00:00:00Z, end_time=1945-03-18T00:00:00Z, point_in_time=1940-06-28T00:00:00Z"
✅ Updated coords and dates,13069,"name=Battle of the Mediterranean, descendant_count=28"
✅ FOUND in military_events table ,13100,"id=13100, qid='Q770698', name='Syria–Lebanon campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/AWM%20010546%20allen%20lebanon.jpg', description='1941 Allied invasion of Vichy French-controlled Syria and Lebanon', start_time='1941-06-08T00:00:00Z', end_time='1941-07-14T00:00:00Z', point_in_time='1941-06-09T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Syria%E2%80%93Lebanon_campaign', lat=34.1666666665, lon=39.675, depth_index='12379_300_10', depth_level=3, descendant_count=10"
✅ UPDATED in military_events table,13100,"start_time='1941-06-08T00:00:00Z', end_time='1941-07-14T00:00:00Z', point_in_time='1941-06-09T00:00:00Z'"
 fit_descendant_date updated.,13100,"start_time=1941-06-08T00:00:00Z, end_time=1941-07-14T00:00:00Z, point_in_time=1941-06-09T00:00:00Z"
✅ Updated coords and dates,13100,"name=Syria–Lebanon campaign, descendant_count=10"
✅ FOUND in military_events table ,13113,"id=13113, qid='Q162333', name='Italian campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Luccaitaly1944.png', description='1943–1945 military campaign of World War II', start_time='1943-07-31T00:00:00Z', end_time='1945-05-02T00:00:00Z', point_in_time='1943-07-31T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Italian_campaign_(World_War_II)', lat=41.716805553499995, lon=12.6250000015, depth_index='12379_300_13', depth_level=3, descendant_count=45"
✅ UPDATED in military_events table,13113,"start_time='1943-07-31T00:00:00Z', end_time='1945-05-02T00:00:00Z', point_in_time='1943-07-31T00:00:00Z'"
 fit_descendant_date updated.,13113,"start_time=1943-07-31T00:00:00Z, end_time=1945-05-02T00:00:00Z, point_in_time=1943-07-31T00:00:00Z"
✅ Updated coords and dates,13113,"name=Italian campaign, descendant_count=45"
✅ FOUND in military_events table ,13159,"id=13159, qid='Q708173', name='Dodecanese Campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Nomos%20Dodekanisou.png', description='1943 campaign of World War II', start_time='1943-09-09T00:00:00Z', end_time='1943-11-16T00:00:00Z', point_in_time='1943-09-09T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Dodecanese_campaign', lat=36.65097222, lon=27.38638889, depth_index='12379_300_14', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,13159,"start_time='1943-09-09T00:00:00Z', end_time='1943-11-16T00:00:00Z', point_in_time='1943-09-09T00:00:00Z'"
 fit_descendant_date updated.,13159,"start_time=1943-09-09T00:00:00Z, end_time=1943-11-16T00:00:00Z, point_in_time=1943-09-09T00:00:00Z"
✅ Updated coords and dates,13159,"name=Dodecanese Campaign, descendant_count=3"
✅ FOUND in military_events table ,13180,"id=13180, qid='Q223604', name='Greco-Italian War', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Italo-Grecian%20War%201940-1941%20-%20political%20map%20of%20operations.gif', description='conflict between Italy and Greece, which lasted from 28 October 1940 to 23 April 1941', start_time='1940-10-28T00:00:00Z', end_time='1941-03-24T00:00:00Z', point_in_time='1940-10-28T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Greco-Italian_War', lat=40.101683333, lon=20.3293166665, depth_index='12379_314_2', depth_level=3, descendant_count=8"
✅ UPDATED in military_events table,13180,"start_time='1940-10-28T00:00:00Z', end_time='1941-03-24T00:00:00Z', point_in_time='1940-10-28T00:00:00Z'"
 fit_descendant_date updated.,13180,"start_time=1940-10-28T00:00:00Z, end_time=1941-03-24T00:00:00Z, point_in_time=1940-10-28T00:00:00Z"
✅ Updated coords and dates,13180,"name=Greco-Italian War, descendant_count=8"
✅ FOUND in military_events table ,13189,"id=13189, qid='Q2888837', name='Battle of Greece', image_url=None, description='WWII German invasion of Greece and Allied resistance, April 1941', start_time='1941-04-13T00:00:00Z', end_time='1941-04-25T00:00:00Z', point_in_time='1941-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/German_invasion_of_Greece', lat=39.259675833, lon=22.498408333, depth_index='12379_314_3', depth_level=3, descendant_count=6"
✅ UPDATED in military_events table,13189,"start_time='1941-04-13T00:00:00Z', end_time='1941-04-25T00:00:00Z', point_in_time='1941-01-01T00:00:00Z'"
 fit_descendant_date updated.,13189,"start_time=1941-04-13T00:00:00Z, end_time=1941-04-25T00:00:00Z, point_in_time=1941-01-01T00:00:00Z"
✅ Updated coords and dates,13189,"name=Battle of Greece, descendant_count=6"
✅ FOUND in military_events table ,13256,"id=13256, qid='Q10459578', name='Uprising in Serbia', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Zarobljeni%20nemacki%20tenk%201941.jpg', description='Uprising in German-occupied Serbia in 1941.', start_time='1941-08-01T00:00:00Z', end_time='1941-10-31T00:00:00Z', point_in_time='1941-08-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Uprising_in_Serbia_(1941)', lat=44.1991666665, lon=20.240833333, depth_index='12379_327_51', depth_level=3, descendant_count=5"
✅ UPDATED in military_events table,13256,"start_time='1941-08-01T00:00:00Z', end_time='1941-10-31T00:00:00Z', point_in_time='1941-08-01T00:00:00Z'"
 fit_descendant_date updated.,13256,"start_time=1941-08-01T00:00:00Z, end_time=1941-10-31T00:00:00Z, point_in_time=1941-08-01T00:00:00Z"
✅ Updated coords and dates,13256,"name=Uprising in Serbia, descendant_count=5"
✅ FOUND in military_events table ,13279,"id=13279, qid='Q1259096', name='Case White', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Operacija%20Weiss%20I.jpg', description='1943 combined Axis strategic offensive launched against the Yugoslav Partisans', start_time='1943-03-06T00:00:00Z', end_time='1943-04-15T00:00:00Z', point_in_time='1943-03-06T00:00:00Z', wiki_url=None, lat=43.565501388499996, lon=17.788643055500003, depth_index='12379_327_69', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,13279,"start_time='1943-03-06T00:00:00Z', end_time='1943-04-15T00:00:00Z', point_in_time='1943-03-06T00:00:00Z'"
 fit_descendant_date updated.,13279,"start_time=1943-03-06T00:00:00Z, end_time=1943-04-15T00:00:00Z, point_in_time=1943-03-06T00:00:00Z"
✅ Updated coords and dates,13279,"name=Case White, descendant_count=3"
✅ FOUND in military_events table ,13283,"id=13283, qid='Q124172206', name='Case Black', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/German%2C%20Italian%20and%20Bulgarian%20flags%20on%20Durmitor%201943.jpg', description='German-led military operation against Yugoslav Partisans in 1943', start_time='1943-05-05T00:00:00Z', end_time='1943-06-01T00:00:00Z', point_in_time='1943-05-05T00:00:00Z', wiki_url=None, lat=43.121805722, lon=18.5158335, depth_index='12379_327_70', depth_level=3, descendant_count=3"
✅ UPDATED in military_events table,13283,"start_time='1943-05-05T00:00:00Z', end_time='1943-06-01T00:00:00Z', point_in_time='1943-05-05T00:00:00Z'"
 fit_descendant_date updated.,13283,"start_time=1943-05-05T00:00:00Z, end_time=1943-06-01T00:00:00Z, point_in_time=1943-05-05T00:00:00Z"
✅ Updated coords and dates,13283,"name=Case Black, descendant_count=3"
✅ FOUND in military_events table ,13328,"id=13328, qid='Q379433', name='Operation Ten-Go', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Explosion%20of%20the%20Japanese%20battleship%20Yamato%2C%20on%207%20April%201945%20%28NH%2062582%29.jpg', description='1945 Japanese naval operation in World War II', start_time='1945-04-06T00:00:00Z', end_time='1945-06-22T00:00:00Z', point_in_time='1945-04-06T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Kikusui_I', lat=28.241666666500002, lon=126.475, depth_index='12379_349_1', depth_level=3, descendant_count=2"
✅ UPDATED in military_events table,13328,"start_time='1945-04-06T00:00:00Z', end_time='1945-06-22T00:00:00Z', point_in_time='1945-04-06T00:00:00Z'"
 fit_descendant_date updated.,13328,"start_time=1945-04-06T00:00:00Z, end_time=1945-06-22T00:00:00Z, point_in_time=1945-04-06T00:00:00Z"
✅ Updated coords and dates,13328,"name=Operation Ten-Go, descendant_count=2"
✅ FOUND in military_events table ,13333,"id=13333, qid='Q709352', name='Japan campaign', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Task%20Force%2038%20off%20the%20coast%20of%20Japan%201945.jpg', description='1945 campaign in Japan during the Second World War', start_time='1942-04-18T00:00:00Z', end_time='1946-01-01T00:00:00Z', point_in_time='1942-04-18T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Japan_campaign', lat=38.8295375, lon=149.9638611115, depth_index='12379_349_4', depth_level=3, descendant_count=104"
✅ UPDATED in military_events table,13333,"start_time='1942-04-18T00:00:00Z', end_time='1946-01-01T00:00:00Z', point_in_time='1942-04-18T00:00:00Z'"
 fit_descendant_date updated.,13333,"start_time=1942-04-18T00:00:00Z, end_time=1946-01-01T00:00:00Z, point_in_time=1942-04-18T00:00:00Z"
✅ Updated coords and dates,13333,"name=Japan campaign, descendant_count=104"
